"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","2.2n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C2, C3","2","1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","D1, D2, D3","3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"4","J1","1","Conn_02x08_Odd_Even","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical",""
"5","J2, J3, J4, J5, J6, J7, J8","7","AudioJack2_SwitchT","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"6","Q1","1","BC558","Package_TO_SOT_THT:TO-92_Inline",""
"7","Q2","1","BC548","Package_TO_SOT_THT:TO-92_Inline",""
"8","R1, R3, R6, R10, R12, R14, R17, R20, R26","9","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"9","R2","1","33k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"10","R4, R5","2","100K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"11","R7, R9","2","1M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"12","R8","1","1k5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"13","R11","1","47k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"14","R13, R16, R22, R29","4","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"15","R15, R18, R21","3","68k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"16","R19","1","14k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"17","R23, R24, R25, R27, R28, TH1, TH2, TH4","8","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"18","RV1, RV2, RV5","3","100k","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical",""
"19","RV3","1","1M","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical",""
"20","RV4","1","1k","Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical",""
"21","RV6","1","250k","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical",""
"22","TH3","1","10K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"23","U1","1","CD40106BE","CD40106:DIP794W45P254L1969H508Q14",""
"24","U2, U3","2","TL074CN","TL074:DIP794W45P254L1969H508Q14",""
